word	sentid	corpuspos	markers	list_len	prompt_len	wlen	surp	hs	dHs
before	0	0	0	3	1	6	10.15685749053955	6.5332417488098145	0.0
the	0	1	0	3	1	3	1.5021597146987915	5.209762096405029	1.3234796524047852
meeting	0	2	0	3	1	7	8.72624397277832	7.835397720336914	-2.6256356239318848
,	0	3	0	3	1	1	1.6279305219650269	5.311218738555908	2.524178981781006
<unk>	0	4	0	3	1	5	1.7294509410858154	4.781772613525391	0.5294461250305176
wrote	0	5	0	3	1	5	6.6102166175842285	7.430719375610352	-2.648946762084961
down	0	6	0	3	1	4	11.26168155670166	4.7779221534729	2.652797222137451
the	0	7	0	3	1	3	1.6760858297348022	5.014759063720703	-0.23683691024780273
following	0	8	0	3	1	9	9.148425102233887	10.01791000366211	-5.003150939941406
lists	0	9	0	3	1	5	11.491289138793945	7.569116115570068	2.448793888092041
of	0	10	0	3	1	2	1.9158339500427246	3.7759716510772705	3.793144464492798
words	0	11	0	3	1	5	10.175374031066895	5.662107944488525	-1.8861362934112549
.	0	12	0	3	1	1	2.7565982341766357	5.414645671844482	0.24746227264404297
one	0	13	0	3	1	3	25.7582950592041	0.2561880946159363	5.158457577228546
was	0	14	0	3	1	3	7.008138179779053	5.137068271636963	-4.880880177021027
:	0	15	0	3	1	1	8.91657543182373	8.265914916992188	-3.1288466453552246
window	0	16	1	3	1	6	18.617712020874023	5.987376689910889	2.278538227081299
,	0	17	1	3	1	1	2.681633472442627	5.941474437713623	0.045902252197265625
door	0	18	1	3	1	4	11.134917259216309	8.410771369934082	-2.469296932220459
,	0	19	1	3	1	1	0.7509884238243103	3.283161163330078	5.127610206604004
roof	0	20	1	3	1	4	10.826359748840332	7.560482025146484	-4.277320861816406
.	0	21	1	3	1	1	6.626479148864746	3.301090955734253	4.2593910694122314
and	0	22	2	3	1	3	17.447391510009766	0.41116300225257874	2.889927953481674
the	0	23	2	3	1	3	3.469191312789917	7.138335227966309	-6.72717222571373
other	0	24	2	3	1	5	5.073075294494629	9.91780948638916	-2.7794742584228516
:	0	25	2	3	1	1	6.749624252319336	7.901228904724121	2.016580581665039
cotton	0	26	3	3	1	6	16.480783462524414	6.533102035522461	1.3681268692016602
,	0	27	3	3	1	1	2.2862367630004883	6.379323482513428	0.1537785530090332
wool	0	28	3	3	1	4	11.312074661254883	8.651997566223145	-2.272674083709717
,	0	29	3	3	1	1	0.5653673410415649	2.1581480503082275	6.493849515914917
silk	0	30	3	3	1	4	8.046180725097656	7.892907619476318	-5.734759569168091
.	0	31	3	3	1	1	7.014236927032471	1.7720093727111816	6.120898246765137
before	1	0	0	3	1	6	10.15685749053955	6.5332417488098145	0.0
the	1	1	0	3	1	3	1.5021597146987915	5.209762096405029	1.3234796524047852
meeting	1	2	0	3	1	7	8.72624397277832	7.835397720336914	-2.6256356239318848
,	1	3	0	3	1	1	1.6279305219650269	5.311218738555908	2.524178981781006
<unk>	1	4	0	3	1	5	1.7294509410858154	4.781772613525391	0.5294461250305176
wrote	1	5	0	3	1	5	6.6102166175842285	7.430719375610352	-2.648946762084961
down	1	6	0	3	1	4	11.26168155670166	4.7779221534729	2.652797222137451
the	1	7	0	3	1	3	1.6760858297348022	5.014759063720703	-0.23683691024780273
following	1	8	0	3	1	9	9.148425102233887	10.01791000366211	-5.003150939941406
lists	1	9	0	3	1	5	11.491289138793945	7.569116115570068	2.448793888092041
of	1	10	0	3	1	2	1.9158339500427246	3.7759716510772705	3.793144464492798
words	1	11	0	3	1	5	10.175374031066895	5.662107944488525	-1.8861362934112549
.	1	12	0	3	1	1	2.7565982341766357	5.414645671844482	0.24746227264404297
one	1	13	0	3	1	3	25.7582950592041	0.2561880946159363	5.158457577228546
was	1	14	0	3	1	3	7.008138179779053	5.137068271636963	-4.880880177021027
:	1	15	0	3	1	1	8.91657543182373	8.265914916992188	-3.1288466453552246
leg	1	16	1	3	1	3	16.645336151123047	5.987376689910889	2.278538227081299
,	1	17	1	3	1	1	2.965679883956909	6.539617538452148	-0.5522408485412598
arms	1	18	1	3	1	4	11.884746551513672	9.010725021362305	-2.4711074829101562
,	1	19	1	3	1	1	0.45878520607948303	1.9211645126342773	7.089560508728027
head	1	20	1	3	1	4	7.692387580871582	7.709421634674072	-5.788257122039795
.	1	21	1	3	1	1	6.493340969085693	2.720905303955078	4.988516330718994
and	1	22	2	3	1	3	19.23798370361328	0.37329158186912537	2.3476137220859528
the	1	23	2	3	1	3	3.676673412322998	7.915122985839844	-7.541831403970718
other	1	24	2	3	1	5	4.555249214172363	10.166563034057617	-2.2514400482177734
:	1	25	2	3	1	1	7.071048259735107	8.230565071105957	1.9359979629516602
blue	1	26	3	3	1	4	11.499861717224121	6.840391635894775	1.3901734352111816
,	1	27	3	3	1	1	2.1266801357269287	5.9773125648498535	0.8630790710449219
red	1	28	3	3	1	3	5.467378616333008	7.4928693771362305	-1.515556812286377
,	1	29	3	3	1	1	1.0549789667129517	3.895078182220459	3.5977911949157715
green	1	30	3	3	1	5	4.248944282531738	5.81638240814209	-1.9213042259216309
.	1	31	3	3	1	1	6.186110019683838	2.3237922191619873	3.4925901889801025
before	2	0	0	3	1	6	10.15685749053955	6.5332417488098145	0.0
the	2	1	0	3	1	3	1.5021597146987915	5.209762096405029	1.3234796524047852
meeting	2	2	0	3	1	7	8.72624397277832	7.835397720336914	-2.6256356239318848
,	2	3	0	3	1	1	1.6279305219650269	5.311218738555908	2.524178981781006
<unk>	2	4	0	3	1	5	1.7294509410858154	4.781772613525391	0.5294461250305176
wrote	2	5	0	3	1	5	6.6102166175842285	7.430719375610352	-2.648946762084961
down	2	6	0	3	1	4	11.26168155670166	4.7779221534729	2.652797222137451
the	2	7	0	3	1	3	1.6760858297348022	5.014759063720703	-0.23683691024780273
following	2	8	0	3	1	9	9.148425102233887	10.01791000366211	-5.003150939941406
lists	2	9	0	3	1	5	11.491289138793945	7.569116115570068	2.448793888092041
of	2	10	0	3	1	2	1.9158339500427246	3.7759716510772705	3.793144464492798
words	2	11	0	3	1	5	10.175374031066895	5.662107944488525	-1.8861362934112549
.	2	12	0	3	1	1	2.7565982341766357	5.414645671844482	0.24746227264404297
one	2	13	0	3	1	3	25.7582950592041	0.2561880946159363	5.158457577228546
was	2	14	0	3	1	3	7.008138179779053	5.137068271636963	-4.880880177021027
:	2	15	0	3	1	1	8.91657543182373	8.265914916992188	-3.1288466453552246
sailboat	2	16	1	3	1	8	22.558223724365234	5.987376689910889	2.278538227081299
,	2	17	1	3	1	1	2.3645737171173096	7.541245460510254	-1.5538687705993652
destroyer	2	18	1	3	1	9	13.390430450439453	7.505040645599365	0.03620481491088867
,	2	19	1	3	1	1	1.0309233665466309	4.31754732131958	3.187493324279785
battleship	2	20	1	3	1	10	12.507181167602539	7.293712615966797	-2.976165294647217
.	2	21	1	3	1	1	6.333745956420898	4.6958088874816895	2.5979037284851074
and	2	22	2	3	1	3	19.97097396850586	0.35532569885253906	4.34048318862915
the	2	23	2	3	1	3	3.9591634273529053	7.587699890136719	-7.23237419128418
other	2	24	2	3	1	5	5.764542102813721	9.662860870361328	-2.0751609802246094
:	2	25	2	3	1	1	6.464291095733643	8.825440406799316	0.8374204635620117
fly	2	26	3	3	1	3	13.668717384338379	6.898780822753906	1.9266595840454102
,	2	27	3	3	1	1	2.7621045112609863	7.243940353393555	-0.34515953063964844
ant	2	28	3	3	1	3	17.966522216796875	8.087457656860352	-0.8435173034667969
,	2	29	3	3	1	1	1.7078638076782227	5.949143886566162	2.1383137702941895
bee	2	30	3	3	1	3	13.753484725952148	7.528454780578613	-1.5793108940124512
.	2	31	3	3	1	1	4.606133460998535	5.662385940551758	1.8660688400268555
before	3	0	0	3	1	6	10.15685749053955	6.5332417488098145	0.0
the	3	1	0	3	1	3	1.5021597146987915	5.209762096405029	1.3234796524047852
meeting	3	2	0	3	1	7	8.72624397277832	7.835397720336914	-2.6256356239318848
,	3	3	0	3	1	1	1.6279305219650269	5.311218738555908	2.524178981781006
<unk>	3	4	0	3	1	5	1.7294509410858154	4.781772613525391	0.5294461250305176
wrote	3	5	0	3	1	5	6.6102166175842285	7.430719375610352	-2.648946762084961
down	3	6	0	3	1	4	11.26168155670166	4.7779221534729	2.652797222137451
the	3	7	0	3	1	3	1.6760858297348022	5.014759063720703	-0.23683691024780273
following	3	8	0	3	1	9	9.148425102233887	10.01791000366211	-5.003150939941406
lists	3	9	0	3	1	5	11.491289138793945	7.569116115570068	2.448793888092041
of	3	10	0	3	1	2	1.9158339500427246	3.7759716510772705	3.793144464492798
words	3	11	0	3	1	5	10.175374031066895	5.662107944488525	-1.8861362934112549
.	3	12	0	3	1	1	2.7565982341766357	5.414645671844482	0.24746227264404297
one	3	13	0	3	1	3	25.7582950592041	0.2561880946159363	5.158457577228546
was	3	14	0	3	1	3	7.008138179779053	5.137068271636963	-4.880880177021027
:	3	15	0	3	1	1	8.91657543182373	8.265914916992188	-3.1288466453552246
robin	3	16	1	3	1	5	15.02568531036377	5.987376689910889	2.278538227081299
,	3	17	1	3	1	1	3.627882719039917	4.033237934112549	1.9541387557983398
sparrow	3	18	1	3	1	7	18.108598709106445	6.398168563842773	-2.3649306297302246
,	3	19	1	3	1	1	1.2265913486480713	4.621697425842285	1.7764711380004883
heron	3	20	1	3	1	5	16.473543167114258	5.23513126373291	-0.613433837890625
.	3	21	1	3	1	1	5.370260238647461	2.872013568878174	2.3631176948547363
and	3	22	2	3	1	3	18.267932891845703	0.4543111026287079	2.417702466249466
the	3	23	2	3	1	3	4.288692951202393	6.958979606628418	-6.50466850399971
other	3	24	2	3	1	5	4.974564075469971	9.503328323364258	-2.54434871673584
